Plot.ID,Elevation (m),TPI,TPI.gen,Slope,TRI,Aspect,aspect.gen
CR01,2437.812423,6.496385668,convex,20.37066764,11.10871538,323.7876155,NW
CR02,2329.692154,2.872052544,convex,25.67852835,11.12948486,261.5200827,W
CR03,2308.659484,3.499287584,convex,20.12353032,8.587282037,252.7679256,W
CR04,2381.601058,1.855689697,convex,14.57385738,6.145331217,295.7296987,NW
CR05,2300.160556,3.053227132,convex,11.42007617,5.675108303,318.6631805,NW
CR06,2267.46088,2.023981425,convex,9.553917117,4.345108609,218.1173309,SW
CR07,2323.891793,-3.085792169,concave,24.70558576,11.3737007,43.82147943,NE
CR08,2304.43609,-4.881052043,concave,30.54764904,14.21430678,256.741305,W
CR09,2301.031624,-2.298519762,concave,26.41773623,11.14435954,236.3520098,SW
CR10,2291.218746,-1.13975491,concave,7.469630928,3.324239502,319.9211703,NW
CR11,2296.530443,-3.232536723,concave,8.715095104,4.441708408,262.0325061,W
CR12,2449.109532,-2.135958828,concave,10.44058353,5.190922004,274.5211319,W
